"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R43","0603","21.3mm","77.4mm","21.3mm","77.4mm","21.3mm","77.4mm","T","180.0","130"
"R44","0603","47.9mm","60.6mm","47.9mm","60.6mm","47.9mm","60.6mm","T","0.0","4.7k"
"R45","0603","69.4mm","78.5mm","69.4mm","78.5mm","69.4mm","78.5mm","T","180.0","1"
"R46","0603","65.5mm","78.5mm","65.5mm","78.5mm","65.5mm","78.5mm","T","0.0","10k"
"R47","0603","83.5mm","71.7mm","83.5mm","71.7mm","83.5mm","71.7mm","T","0.0","10"
"R48","0603","83.5mm","73.4mm","83.5mm","73.4mm","83.5mm","73.4mm","T","0.0","10"
"R49","0603","83.4mm","75.0mm","83.4mm","75.0mm","83.4mm","75.0mm","T","0.0","10"
"R50","0603","86.8mm","59.0mm","86.8mm","59.0mm","86.8mm","59.0mm","T","0.0","1k"
"R51","0603","86.8mm","61.0mm","86.8mm","61.0mm","86.8mm","61.0mm","T","0.0","1k"
"R52","0603","91.0mm","62.0mm","91.0mm","62.0mm","91.0mm","62.0mm","T","0.0","1k"
"R53","0603","91.0mm","60.2mm","91.0mm","60.2mm","91.0mm","60.2mm","T","0.0","1k"
"R54","0603","91.0mm","58.5mm","91.0mm","58.5mm","91.0mm","58.5mm","T","0.0","1k"
"U$5","SOIC16","54.5mm","55.4mm","54.5mm","55.4mm","54.5mm","55.4mm","T","270.0","CH340G"
"U1","SOT223","22.7mm","19.4mm","22.7mm","19.4mm","22.7mm","19.4mm","T","0.0",""
"U2","SOP65P490X110-9N","58.3mm","24.1mm","58.3mm","24.1mm","58.3mm","24.1mm","T","0.0","TPS7A4901DGNR"
"U3","RHA40_4P15X4P15","31.9mm","81.0mm","31.9mm","81.0mm","31.9mm","81.0mm","T","0.0","AFE4400_RHA_40"
"U4","QFP50P1200X1200X120-64N","74.0mm","70.6mm","74.0mm","70.6mm","74.0mm","70.6mm","T","0.0","MSP430F149IPAG"
"Y2","CRYSTAL-SMD-5X3.2-4PAD","31.4mm","94.8mm","31.4mm","94.8mm","31.4mm","94.8mm","T","0.0","8MHz"
"Y3","CRYSTAL-SMD-5X3.2-4PAD","54.6mm","46.5mm","54.6mm","46.5mm","54.6mm","46.5mm","T","0.0","12MHz"
"Y4","CRYSTAL-SMD-3.2X1.5MM","59.7mm","71.1mm","59.7mm","71.1mm","59.7mm","71.1mm","T","90.0","32.768kHz"
"Y5","CRYSTAL-SMD-5X3.2-4PAD","75.5mm","90.7mm","75.5mm","90.7mm","75.5mm","90.7mm","T","180.0","8MHz"
